	FSS19F	JC2F	FUR1F	FSS217F	FSS221F	BAT4F	FUR5F	BRD2F	BAT1F	CLC5F	BRD3F	CLC2F	FS4F	CLC11F	FSS13F	FSS10F	FSS4F	FSS16F	FSS22F	JC8F	CLC8F	FS10F	FS7F	JC4F	FSS12071110	FSS1207114	FSS12071122	FSS1109241	FSS12071222	FSS11092467	FSS12071213	FSS12071216	FSS11092468	FSS1207111	FSS12071119	FSS11092477	FSS11092470	FSS12071204	FSS12071207	FSS12071201	FSS12071113	FSS1109245	FSS11092474	FSS12071219	FSS12071228	FSS12071210	FSS12071116	FSS1207117	FSS12071225	ELMA13081416	ELMA1308141	ELMA13081418	ELMA13081411	ELMA13081417	ELMA1308143	ELMA1308145	ELMA1308146	ELMA1308142	ELMA1308144	PARA14052533	ELMA14061233	PARA14052625	FS14050225	JC14041816	FSS14050317	ELMA14060527	ELMA14060517	ELMA14061217	PARA14052525	PARA14052513	ELMA1406055	JC1404181	ELMA14060518	ELMA14061221	ELMA1406121	PARA14052613	PARA1405269	PARA1405295	ELMA1406059	ELMA14060540	FSS1405039	FS1405021	PARA1405291	ELMA14060547	PARA14052529	PARA1405251	JC1404186	PARA1405261	ELMA14060522	PARA1405259	FSS14050313	PARA1405265	BAT1404181	PARA14052517	CLC1404207	FS1405029	ELMA14060523	ELMA1406125	PARA1405299	JC14041811	PARA1405241	BRD1404191	FS14050221	FS14050217	ELMA14061229	FSS1405021	PARA14052617	PARA14052813	PARA14052917	ELMA14060531	FSS1405035	PARA14052913	PARA14052629	ELMA1406051	FW1404211	ELMA14060544	PARA1405255	ELMA14061225	PARA14052921	PARA14052925	PARA1405285	ELMA14060513	PARA14052621	FS1405025	CLC1404201	ELMA14060532	PARA1405281	ELMA1406129	ELMA14061213	ELMA14060536	FS14050213	FSS1405031	ZL1404181	PARA1405289	PARA14052521	RSS14062113	CC14062037	CC14062013	CC14062025	CC1406201	CC14062017	RSS1406241	CC1406205	CC1406209	CC14062021	RSS1406215	RSS1406211	RSS1406245	WCS1406239	CC14062033	WCS1406235	WCS14062313	WCS1406231	CC14062029	RSS1406219	TOR14050437	TOR14050413	TOR14050441	TOR14050445	TOR14050425	TOR1405041	TOR1405049	TOR14050421	TOR14050429	TOR14050417	TOR14050433	TOR1405045	TOR14050449	CRY14050521	CRY14050513	CRY1405051	CRY1405059	CRY14050517	CRY1405055
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae	0	0	0	0.000104262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137837838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011577299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0	0	0	0	0.000688259	0	0	0.007009162	0	0	0.000307321	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000797083	0	9.58466E-05	2.91816E-05	0.000607083	0.006686089	0	0	0.518002362	0	0	0	0.004745952	0	0	0	0	0	0.021167572	0	0	0	0.001137124	0	0	0	0.000252101	0.000349794	0.001015178	0.001794195	0	0	0.002312925	0	0	0.011244666	0	0	0	0	5.17872E-05	0.001076112	0.013136095	0.120962818	0.000277069	0.002983249	0.002653946	0	0.0004266	0.001399177	0.000633653	0.047941073	0	0.038501517	7.72435E-05	0.002284719	0.000294917	0	0.076229044	0.000967558	0.00246139	0.00370332	0.004278411	0.23152381	0.003634392	0.011535936	0.006273517	0.000291595	0.12724819	0.001179266	0.006927555	0	0	0.000106862	0.002374042	0.000118798	0.003098958	0	0	0	0	0	0	0.031380873	0.00139127	0.016838535	0.004090412	0.069484482	0	0.001913696	0	0.005640553	0	0.00171775	0.015338346	0.000834072	0.011300292	0.004318984	0.007044711	0	0	0.003258786	0.016492891	0.001317829	0.003105968	0.013085753	0	0.001775148	0	0.000347767	0.000353553	0	0	0.001040109	0.004885057	0	0.057937028	0.000189117	0	0.007245994	0	0	0.001415929	0	0.056985531	0	0	0.033926247	0.086888285	0	0	0.000105645	0	0	0.000758302	9.2291E-05	0	0	0	0	0	0	0	0.00021333	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000378198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002949772	0	0	0.000558598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001179873	0	0	0.001439661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000904141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023676223	0	0	0	0	0	0	0	0	0	0	0	0.015308505	0	0	0	0	0	0.014538939	0.008901494	0.01998708	0	0	0	0.009390396	0.017044855	0	0	0	0	0.202192691	0	0	0	0	0	0	0	0.00035503	0	0	0	0.000884649	0	0	0	0.000181044	0.003219923	0	0.00193475	0	0.001015431	0	0	0	0	0	0	0	0	0	0.001674571	0.000738061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003548387	0	0	0.00034355	0	0	0.017247813	0.003239238	0	0	0	0	0	0	0	0.002410533	0	0	0.004259681	0	0.000353553	0	0	0	0	0.000516652	0	0	0	0	0	0	0	0	0	0	0.000377498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000684105	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae	0	0	0	0	0	0	0	0	0	0.010906125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010459256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000279835	0	0.002504384	0	0	0	0	0	0.001141365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000528771	0	0	0	0.00046133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001629393	0	0	0	0	0.005400187	0.002485207	0	0	0.001767764	0	0	0	0	0	0	9.45583E-05	0	0	0	0.000144763	0	0.00253674	0.006149518	0	0.000188749	0.000368764	0.00065207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004358578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002225374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001706399	0	0	0.002146615	0	0	0	0.000253858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000558598	0	0	0	0	0.000506958	0	0	0	0.000243263	0	0	0.000371856	0	0	0	0	0	0	0	0.000294968	0	0	0	0	0	0	0	0.004549763	0	0	0	0	0	0	0.001391067	0	0	0	0.003467029	0	0	0	0	0	0	0.000446781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002318393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001141365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00080484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Apiosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000219638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000564055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001905948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Bartaliniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001859859	0	0	0.007382952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003167702	0.002114105	0	0.00138253	0	0.000349794	0	0	0.000699684	0	0	0.002947322	0	0	0	0	0	0	0	0	0.001065089	0	0	0	0	0	0	0.001119342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001678736	0	0	0	0	0	0	0	0	0	0	0.000506958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000621194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002442529	0	0	0	0	0.004044276	0	0.000144763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
