# Constructed from biom file
#OTU ID	FSS19F	JC2F	FUR1F	FSS217F	FSS221F	BAT4F	FUR5F	BRD2F	BAT1F	CLC5F	BRD3F	CLC2F	FS4F	CLC11F	FSS13F	FSS10F	FSS4F	FSS16F	FSS22F	JC8F	CLC8F	FS10F	FS7F	JC4F	FSS12071110	FSS1207114	FSS12071122	FSS1109241	FSS12071222	FSS11092467	FSS12071213	FSS12071216	FSS11092468	FSS1207111	FSS12071119	FSS11092477	FSS11092470	FSS12071204	FSS12071207	FSS12071201	FSS12071113	FSS1109245	FSS11092474	FSS12071219	FSS12071228	FSS12071210	FSS12071116	FSS1207117	FSS12071225	ELMA13081416	ELMA1308141	ELMA13081418	ELMA13081411	ELMA13081417	ELMA1308143	ELMA1308145	ELMA1308146	ELMA1308142	ELMA1308144	PARA14052533	ELMA14061233	PARA14052625	FS14050225	JC14041816	FSS14050317	ELMA14060527	ELMA14060517	ELMA14061217	PARA14052525	PARA14052513	ELMA1406055	JC1404181	ELMA14060518	ELMA14061221	ELMA1406121	PARA14052613	PARA1405269	PARA1405295	ELMA1406059	ELMA14060540	FSS1405039	FS1405021	PARA1405291	ELMA14060547	PARA14052529	PARA1405251	JC1404186	PARA1405261	ELMA14060522	PARA1405259	FSS14050313	PARA1405265	BAT1404181	PARA14052517	CLC1404207	FS1405029	ELMA14060523	ELMA1406125	PARA1405299	JC14041811	PARA1405241	BRD1404191	FS14050221	FS14050217	ELMA14061229	FSS1405021	PARA14052617	PARA14052813	PARA14052917	ELMA14060531	FSS1405035	PARA14052913	PARA14052629	ELMA1406051	FW1404211	ELMA14060544	PARA1405255	ELMA14061225	PARA14052921	PARA14052925	PARA1405285	ELMA14060513	PARA14052621	FS1405025	CLC1404201	ELMA14060532	PARA1405281	ELMA1406129	ELMA14061213	ELMA14060536	FS14050213	FSS1405031	ZL1404181	PARA1405289	PARA14052521	RSS14062113	CC14062037	CC14062013	CC14062025	CC1406201	CC14062017	RSS1406241	CC1406205	CC1406209	CC14062021	RSS1406215	RSS1406211	RSS1406245	WCS1406239	CC14062033	WCS1406235	WCS14062313	WCS1406231	CC14062029	RSS1406219	TOR14050437	TOR14050413	TOR14050441	TOR14050445	TOR14050425	TOR1405041	TOR1405049	TOR14050421	TOR14050429	TOR14050417	TOR14050433	TOR1405045	TOR14050449	CRY14050521	CRY14050513	CRY1405051	CRY1405059	CRY14050517	CRY1405055
k__Fungi;Other;Other;Other;Other;Other	0.0	0.0	0.007058159232072275	0.00010221813349688235	0.0	0.0	0.0	0.0	0.0002242152466367713	0.0	0.0	0.0	0.0020926756352765323	0.0	0.0	0.0	0.00033288948069241014	0.007464543418760886	0.0070448646644419724	0.0	0.0	0.0	0.0	0.0	0.0011721802552748112	0.0	0.0	2.8609438253679888e-05	9.919650828290844e-05	0.0	0.0	0.0004434589800443459	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0022234574763757642	0.0	0.0011636927851047323	0.0	0.0	0.0	0.0	0.00021817388458601506	0.0	0.0	0.0	0.0	0.0004976362279173924	0.0	0.0	0.0	0.0	0.001555901311402534	0.0	0.00035561877667140827	7.973210014351777e-05	0.0	0.010618304829919187	0.0	0.00411251015434606	0.00015071590052750564	0.0	0.0	0.0	0.0	0.0	0.0	0.000836470096194061	0.00027434842249657066	8.874689385871494e-05	0.00035075412136092597	0.0	0.00018968133535660092	0.061567588034835294	0.0	0.005204417972590065	0.0011189854531891085	0.0	0.0013280212483399733	0.00024131274131274132	0.0	0.0	0.0	5.1639555899819264e-05	0.0	0.000723589001447178	0.0	0.0009874917709019092	6.423020104052926e-05	0.0	0.0015220700152207	0.0004177109440267335	0.0	0.00013691128148959474	0.0	0.00043402777777777775	0.0	0.00023231501916598908	0.0014910536779324055	0.0	0.0	0.0	0.0004769854519437157	0.0011691348402182386	0.0009045680687471732	0.0003645643456069996	0.0007890583903208837	0.0	0.0009380863039399625	0.00031625553447185326	0.0	0.0	0.0023576961940047153	0.0002891844997108155	0.0001362862010221465	0.003498542274052478	0.0	0.0	0.013218390804597701	0.006979341150195421	0.0005324813631522897	0.0	0.0	0.0018270401948842874	0.0	0.0028028651510432884	0.0	0.00037965072133637056	0.0	0.0	0.0	0.02762268586541287	0.0001699524133242692	0.0	0.00012663036596175764	0.0	0.0	0.008500887049083382	0.00016520733520568312	0.10337275514673674	0.0	0.0	0.0	0.0008038585209003215	0.0	0.0	0.0	0.002716957008150871	0.002542103590721322	0.0	0.0004142931123770067	0.0	0.0005728689275893675	0.0015694696844539898	0.0020810712993123417	0.0	0.0	0.0	0.0033232054690467147	0.00207825065510075	0.0009453781512605042	0.0015914622729825876	0.0004182933630786392	0.0037746023186842814	0.0004743083003952569	0.0011610252746271322	0.0006592501030078286	0.003129890453834116	0.0017096452486109132
k__Fungi;p__Ascomycota;Other;Other;Other;Other	0.05608893380495201	0.3254938852304795	0.14765669113495197	0.2565675150771744	0.08367071524966267	0.8704898030329428	0.0	0.02585078534031414	0.13654708520179365	0.9293222181949979	0.02982826152455558	0.4453083109919568	0.1602391629297458	0.07416879795396422	0.3909158600148918	0.06289062499999999	0.033288948069241014	0.15352077631251554	0.07378568780126062	0.13513513513513514	0.06811758055398533	0.7351543942992875	0.0078003120124804995	0.01	0.03672831466527741	0.008818983543958542	0.015222702499530165	0.09674281545481855	0.013193135601626823	0.01733430444282593	0.036207241448289657	0.01441241685144124	0.0010123165176311793	0.02575936460233981	0.009421265141318977	0.0013315579227696404	0.012841987716359575	0.04735322425409047	0.03239499553172475	0.025577124868835253	0.012923846581434128	0.0014864362690449647	0.004848719937936384	0.04661870503597122	0.0009809417040358745	0.03435966086568497	0.01258162127727345	0.011235955056179773	0.008828596037898363	0.018825301204819275	0.00852694018783984	0.009945130315500685	0.34038317989549643	0.042216358839050123	0.006996844560296336	0.1173529411764706	0.08584386135406545	0.17559457657257171	0.028792912513842746	0.019203413940256046	0.9343007494817415	0.5591362126245846	0.9696955459500098	0.9909221978960863	0.9444049553208768	0.015523737754333081	0.4542290288896624	0.06457925636007827	0.9905470744825338	0.7535229992023396	0.05377276669557677	0.23202029245001501	0.11250522793810121	0.03950617283950617	0.9487042953496629	0.07225534900035076	0.756957839625241	0.054248861911987856	0.9110185535781901	0.31632653061224514	0.9431561903660444	0.030212607236105925	0.8168831168831169	0.024473534433693794	0.39768339768339767	0.08843360995850624	0.7227683837986636	0.11071428571428568	0.9729408727084946	0.3892739875957681	0.05643994211287988	0.060891938250428816	0.20013166556945358	0.9608195773652771	0.030724450194049163	0.18325722983257237	0.03759398496240601	0.0462022001047669	0.8424151150054765	0.34498020032611265	0.06640624999999999	0.06112196483393804	0.7933557904518528	0.041003976143141156	0.08075165058405283	0.018403317781233795	0.5627540043031317	0.03958979251132841	0.08787996882307093	0.08163726820443239	0.014582573824279984	0.07837980010520779	0.713806766229808	0.11194496560350219	0.05502846299810247	0.3376958525345622	0.29160305343511456	0.032334119232064674	0.08183921341816079	0.9337649063032367	0.1510204081632653	0.051164431898376855	0.029080334423845864	0.051724137931034475	0.02121719709659408	0.06070287539936103	0.08530805687203795	0.06201550387596898	0.11327649208282584	0.054017555705604334	0.004048582995951417	0.014618865297598324	0.043659832953682615	0.2240027275826799	0.08006932409012131	0.36556182093247147	0.013811342932706434	0.0033990482664853837	0.009818007662835247	0.5685703431682918	0.004282115869017632	0.5358301659404839	0.7984920165582495	0.0004956220056170494	0.004380201489268506	0.022282145898382063	0.005726184279021343	0.005765317657698395	0.006430868167202571	0.012672665061462427	0.5758697261287936	0.004699927693420101	0.008790155026370464	0.578964092786781	0.03160979694368851	0.9399274987053348	0.9627786990971079	0.8951649862511453	0.9542375681480255	0.9786463988418386	0.9592118226600991	0.5521598589479871	0.961344982790575	0.9751234333459929	0.960693955001355	0.9772058823529411	0.9784684516008237	0.9686279977691031	0.9601869326862579	0.9740711462450589	0.883629543627757	0.9776679027606112	0.8752515090543266	0.9710785012109989
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Phaeococcomyces	0.0012632642748863063	0.0	0.018633540372670808	0.00010221813349688235	0.0	0.0	0.0	0.0	0.0013452914798206279	0.0	0.0	0.0013404825737265416	0.0	0.0	0.03723008190618019	0.0	0.0	0.0007464543418760885	0.009269558769002597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005863383172090296	0.0	0.0	0.0	0.0	0.0	0.0017780938833570413	0.00015946420028703555	0.0	0.0	0.0	0.0	0.0	0.0	0.0011741682974559687	0.0	0.00026588673225206064	0.0004336513443191674	0.0	0.0	0.00027434842249657066	8.874689385871494e-05	0.0	0.0	0.0	0.00015145778114350624	0.00024888003982080636	0.0	0.0	0.0001180637544273908	0.0024663251754885223	0.0	0.001037344398340249	0.005243151133831433	0.0	0.0	0.0007296607077708865	0.001808972503617945	0.11063464837049743	0.0	0.0	0.0	0.0	0.002506265664160401	0.0	0.0	0.0	0.002170138888888889	0.01423388222160201	0.0	0.0	0.0	0.002073613271124935	0.0	0.0014309563558311473	0.0	0.0	0.0	0.0	0.0	0.00031269543464665416	0.007590132827324478	0.0016589861751152074	0.0061068702290076335	0.0030313236780060626	0.008097165991902834	0.0	0.0	0.0007057163020465773	0.014540167211922937	0.0	0.0	0.0	0.00027878449958182325	0.0	0.0006090133982947625	0.0	0.0	0.0	0.0011389521640091116	0.0030685305148312305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010845986984815619	0.000159821000479463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;Other;Other;Other	0.06998484082870136	0.007055503292568203	0.235742518351214	0.002964325871409588	0.019568151147098513	0.0	0.0	0.009489528795811518	0.0	0.0009061254077564335	0.016571256402530883	0.005361930294906167	0.00029895366218236175	0.02717391304347826	0.003226607098535617	0.0	0.015978695073235686	0.01443145060960438	0.008527994067482388	0.0	0.011588468061051444	0.0	0.062402496099843996	0.07	0.0007814535035165408	0.015365033184834984	0.004322495771471528	0.01916832362996553	0.00694375557980359	0.016023306627822288	0.004800960192038408	0.052882483370288245	0.0	0.034023827412257165	0.023721399730820998	0.0	0.02828959612879211	0.031376323387872954	0.0013404825737265416	0.006164742917103882	0.06336853807670928	0.0	0.006012412723041117	0.03841726618705036	0.06684417040358744	0.002677376171352075	0.19055582099060356	0.00927239009490564	0.1309216192937123	0.011596385542168674	0.0050667325753830945	0.0024005486968449933	0.03334162727046529	0.06860158311345645	0.0027438606118809165	0.000588235294117647	0.029802397149335927	0.018448544120915757	0.009966777408637873	0.017425320056899007	0.0015946420028703553	0.00022148394241417498	0.0	0.0	0.00010154346060113728	0.00045214770158251693	0.0034806822137138874	0.0461839530332681	0.00010865431629271472	0.010635469290082427	0.00650477016478751	0.0	0.016729401923881223	0.03209876543209877	0.0003549875754348598	0.17678007716590668	0.0	0.0020864946889226103	0.0005301022340022718	0.018168242906918864	0.0005782686636211184	0.04475941812756433	0.00436835891381346	0.00834756213242269	0.04464285714285715	0.0028526970954356845	0.00026215755669157164	0.02023809523809524	0.0003098373353989156	0.04359722728931048	0.030752532561505067	0.00771869639794168	0.003949967083607636	0.0001926906031215878	0.010672703751617076	0.00517503805175038	0.02046783625730994	0.0005238344683080147	0.0016429353778751369	0.00034940600978336826	0.026909722222222224	0.02874686017303935	0.0084794981995586	0.08523856858846918	0.015490096495683092	0.009849663037843443	0.0	0.005008347245409015	0.024551831644583008	0.007688828584350973	0.038279256288734964	0.015255128879537085	0.0007619628162145687	0.027204502814258912	0.22991777356103732	0.0031336405529953917	0.09312977099236643	0.028965981812057933	0.004916136495083863	0.000272572402044293	0.006997084548104956	0.022230063514467185	0.034169392948018906	0.2103448275862069	0.08151870463428251	0.09584664536741212	0.0016727069974909396	0.024978466838931956	0.020706455542021922	0.030047265361242404	0.14824042354406725	0.005569091541942221	0.03037205770690964	0.0548926014319809	0.05441941074523396	0.001650391968092422	0.0035263003232441966	0.06917063222297756	0.0026340996168582377	0.0010130429276940611	0.00025188916876574307	0.0009270418095856124	0.0017001774098166765	0.015529489509334216	0.0	0.0021288674425205788	0.009543640465035572	0.0011304544426859599	0.01045016077170418	0.0002534533012292485	0.0016654330125832715	0.010484454085321764	0.007032124021096371	0.0	0.0004186728072011723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.494872768704899e-05	0.0	0.0	0.0	0.0	0.0006291003864473802	0.0	0.0	8.240626287597858e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010037641154328732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008264462809917355	0.0	0.0	0.0	0.0	0.0003968253968253968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006253908692933083	0.0	0.0	0.0	0.0	0.0	0.0	0.01924198250728863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006932409012131716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae;g__Aplosporella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011189854531891085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003976143141153082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01839080459770115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013766145479265806	0.0	0.0	0.0	0.0	0.0	0.005121427391376178	0.0	0.0004257734885041158	0.005726184279021343	0.0	0.0	0.0	0.0	0.0	0.00047946300143838897	0.0	0.0006280092108017584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00618705035971223	0.0	0.0	0.0	0.0	0.0006459948320413437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027434842249657066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001864975755315181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002170767004341534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002787780229991869	0.0	0.0	0.0005184033177812338	0.0	0.0	0.0	0.0006784260515603799	0.0018228217280349982	0.0	0.0	0.0	0.0	0.0	0.0	0.0013472549680026945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026624068157614484	0.0	0.0	0.0	0.001012829169480081	0.0006228589224540642	0.0003480682213713888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008676036786395974	0.0	0.0008038585209003215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Dothiorella	0.0	0.0	0.0	0.0	0.0006747638326585695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008673026886383347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003256150506512301	0.0	0.0	0.0	0.0003234152652005175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027335984095427437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030534351145038168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010649627263045794	0.0	0.0	0.0	0.001012829169480081	0.004982871379632513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000319642000958926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.361542782250516e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Tiarosporella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023099133782483157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026624068157614486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriales_fam_Incertae_sedis;g__Homortomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010973936899862826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
